GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,ZCTA,SABINSA,TOTAL,URBAN,URBAN_AREAS,URBAN_CLUSTER,RURAL,NONDF,Rural_Dummy
G32094,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32094,,,,,ZCTA5 32094,32094,,2724,0,0,0,2724,0,1
G32095,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32095,,,,,ZCTA5 32095,32095,,7302,3121,3121,0,4181,0,1
G32096,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32096,,,,,ZCTA5 32096,32096,,2635,0,0,0,2635,0,1
G32097,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32097,,,,,ZCTA5 32097,32097,,15616,10665,0,10665,4951,0,0
G32102,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32102,,,,,ZCTA5 32102,32102,,2565,0,0,0,2565,0,1
G32110,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32110,,,,,ZCTA5 32110,32110,,7600,1928,1928,0,5672,0,1
G32112,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32112,,,,,ZCTA5 32112,32112,,7713,2662,0,2662,5051,0,1
G32113,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32113,,,,,ZCTA5 32113,32113,,6627,0,0,0,6627,0,1
G32114,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32114,,,,,ZCTA5 32114,32114,,32084,32083,32083,0,1,0,0
G32117,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32117,,,,,ZCTA5 32117,32117,,24170,23637,23637,0,533,0,0
G32118,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32118,,,,,ZCTA5 32118,32118,,16961,16961,16961,0,0,0,0
G32119,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32119,,,,,ZCTA5 32119,32119,,20189,20189,20189,0,0,0,0
G32124,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32124,,,,,ZCTA5 32124,32124,,5986,1190,1190,0,4796,0,1
G32127,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32127,,,,,ZCTA5 32127,32127,,29413,29402,29402,0,11,0,0
G32128,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32128,,,,,ZCTA5 32128,32128,,16910,14647,14647,0,2263,0,0
G32129,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32129,,,,,ZCTA5 32129,32129,,20104,20104,20104,0,0,0,0
G32130,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32130,,,,,ZCTA5 32130,32130,,5474,2710,2710,0,2764,0,1
G32131,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32131,,,,,ZCTA5 32131,32131,,4701,1955,0,1955,2746,0,1
G32132,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32132,,,,,ZCTA5 32132,32132,,7265,6453,6453,0,812,0,0
G32133,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32133,,,,,ZCTA5 32133,32133,,137,0,0,0,137,0,1
G32134,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32134,,,,,ZCTA5 32134,32134,,8084,0,0,0,8084,0,1
G32136,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32136,,,,,ZCTA5 32136,32136,,7080,5027,5027,0,2053,0,0
G32137,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32137,,,,,ZCTA5 32137,32137,,37821,36643,36643,0,1178,0,0
G32139,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32139,,,,,ZCTA5 32139,32139,,1129,0,0,0,1129,0,1
G32140,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32140,,,,,ZCTA5 32140,32140,,1741,0,0,0,1741,0,1
G32141,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32141,,,,,ZCTA5 32141,32141,,17603,16778,16778,0,825,0,0
