GISJOIN,YEAR,STUSAB,ZCTA5A,ZCTA_NAME,Total,Under0.5,0.5_0.99,1.00_1.24,1.25_1.49,1.50_1.84,1.85_1.99,Over2.0,Poverty_Dummy,Pct_Agg
G00971,2015-2019,PR,971,ZCTA5 00971,25782,3599,5206,2981,1765,2770,808,8653,0,34.15173377
G00976,2015-2019,PR,976,ZCTA5 00976,58358,9380,8352,3295,3870,5971,1685,25805,0,30.38486583
G00979,2015-2019,PR,979,ZCTA5 00979,16083,1261,1591,1063,1514,1401,896,8357,0,17.73301001
G00982,2015-2019,PR,982,ZCTA5 00982,14253,3058,2544,984,1309,1453,446,4459,0,39.30400617
G00983,2015-2019,PR,983,ZCTA5 00983,33888,6247,5427,2897,2567,3785,1911,11054,0,34.44877243
G00985,2015-2019,PR,985,ZCTA5 00985,31471,5285,5371,2608,3333,3038,1741,10095,0,33.85974389
G00987,2015-2019,PR,987,ZCTA5 00987,53917,7338,7649,3983,4186,4866,2369,23526,0,27.79642784
G01001,2015-2019,US,1001,ZCTA5 01001,16639,713,703,555,427,821,254,13166,0,8.510126811
G01002,2015-2019,US,1002,ZCTA5 01002,24832,3861,2586,900,1452,1153,882,13998,0,25.96246778
G01003,2015-2019,US,1003,ZCTA5 01003,86,39,30,0,0,1,0,16,1,80.23255814
G01005,2015-2019,US,1005,ZCTA5 01005,4988,99,328,0,65,124,210,4162,0,8.560545309
G01007,2015-2019,US,1007,ZCTA5 01007,14927,241,666,329,89,503,83,13016,0,6.07623769
G01008,2015-2019,US,1008,ZCTA5 01008,1140,11,37,21,8,88,4,971,0,4.210526316
G01009,2015-2019,US,1009,ZCTA5 01009,261,67,0,0,0,13,0,181,0,25.67049808
G01010,2015-2019,US,1010,ZCTA5 01010,3631,62,148,130,222,221,94,2754,0,5.783530708
G01011,2015-2019,US,1011,ZCTA5 01011,1413,52,85,32,54,109,9,1072,0,9.695682944
G01012,2015-2019,US,1012,ZCTA5 01012,585,41,2,33,11,7,9,482,0,7.35042735
G01013,2015-2019,US,1013,ZCTA5 01013,22076,1443,2792,1710,1382,1426,665,12658,0,19.18372894
G01020,2015-2019,US,1020,ZCTA5 01020,29957,1128,1653,1715,804,1834,677,22146,0,9.283306072
G01022,2015-2019,US,1022,ZCTA5 01022,2586,426,120,0,24,371,34,1611,0,21.1136891
G01026,2015-2019,US,1026,ZCTA5 01026,930,33,57,49,80,65,19,627,0,9.677419355
G01027,2015-2019,US,1027,ZCTA5 01027,17761,797,736,515,299,755,217,14442,0,8.631270762
G01028,2015-2019,US,1028,ZCTA5 01028,15823,298,453,329,747,701,277,13018,0,4.746255451
G01029,2015-2019,US,1029,ZCTA5 01029,538,12,14,23,20,0,11,458,0,4.832713755
G01030,2015-2019,US,1030,ZCTA5 01030,11335,357,446,43,194,636,122,9537,0,7.084252316
G01031,2015-2019,US,1031,ZCTA5 01031,1135,91,129,88,56,109,0,662,0,19.38325991
G01032,2015-2019,US,1032,ZCTA5 01032,495,16,23,3,0,38,13,402,0,7.878787879
G01033,2015-2019,US,1033,ZCTA5 01033,6322,94,144,163,55,228,71,5567,0,3.764631446
G01034,2015-2019,US,1034,ZCTA5 01034,2164,82,108,25,31,80,24,1814,0,8.780036969
G01035,2015-2019,US,1035,ZCTA5 01035,5197,158,191,346,149,0,329,4024,0,6.715412738
G01036,2015-2019,US,1036,ZCTA5 01036,5079,101,29,71,182,113,37,4546,0,2.559558968
G01037,2015-2019,US,1037,ZCTA5 01037,645,20,34,0,0,0,4,587,0,8.372093023
G01038,2015-2019,US,1038,ZCTA5 01038,2734,37,85,69,17,147,0,2379,0,4.462326262
G01039,2015-2019,US,1039,ZCTA5 01039,1207,21,26,19,15,27,34,1065,0,3.893951947
G01040,2015-2019,US,1040,ZCTA5 01040,39099,5958,5513,2767,2104,2238,750,19769,0,29.33834625
G01050,2015-2019,US,1050,ZCTA5 01050,2428,144,65,63,138,97,56,1865,0,8.607907743
G01053,2015-2019,US,1053,ZCTA5 01053,1328,244,68,21,66,18,5,906,0,23.4939759
G01054,2015-2019,US,1054,ZCTA5 01054,2001,53,78,88,45,49,33,1655,0,6.546726637
G01056,2015-2019,US,1056,ZCTA5 01056,20516,995,782,501,400,833,282,16723,0,8.661532462
G01057,2015-2019,US,1057,ZCTA5 01057,8804,174,373,109,202,353,126,7467,0,6.213084961
G01060,2015-2019,US,1060,ZCTA5 01060,13522,813,1153,515,716,458,302,9565,0,14.53926934
G01062,2015-2019,US,1062,ZCTA5 01062,10071,716,413,46,163,405,209,8119,0,11.21040612
G01063,2015-2019,US,1063,ZCTA5 01063,0,0,0,0,0,0,0,0,0,#DIV/0!
G01066,2015-2019,US,1066,ZCTA5 01066,31,0,0,0,0,31,0,0,0,0
G01068,2015-2019,US,1068,ZCTA5 01068,1829,43,38,26,24,37,34,1627,0,4.428649535
G01069,2015-2019,US,1069,ZCTA5 01069,8403,249,389,313,354,489,201,6408,0,7.592526479
G01070,2015-2019,US,1070,ZCTA5 01070,648,18,26,7,24,48,19,506,0,6.790123457
G01071,2015-2019,US,1071,ZCTA5 01071,1318,59,16,29,32,62,0,1120,0,5.690440061
G01072,2015-2019,US,1072,ZCTA5 01072,1471,52,77,33,3,109,69,1128,0,8.769544528
G01073,2015-2019,US,1073,ZCTA5 01073,6124,79,73,149,140,179,92,5412,0,2.482037884
G01074,2015-2019,US,1074,ZCTA5 01074,411,40,31,0,0,0,0,340,0,17.27493917
